backend,device,D,B,n_params,hidden,layers,estimator,iters,mean_ms,p50_ms,p90_ms,min_ms,max_ms,peak_mem_mb,error
pytorch,cpu,2,64,4417,64,3,exact_sm,20,1.098431149875978,1.041062499552936,1.2822079997931723,1.0085829999297857,1.4031249993422534,,
pytorch,cpu,2,64,4417,64,3,hutch_sm,20,0.763079099897368,0.7217289999061904,0.9045839997270377,0.6940000002941815,0.9552500005156617,,
pytorch,cpu,2,64,4417,64,3,sliced_sm,20,0.7214624998141517,0.6985830000303395,0.7492089998777374,0.6872079993627267,1.0048329995697713,,
pytorch,cpu,2,64,4417,64,3,dsm,20,0.38643335001324886,0.35781249971478246,0.40329199964617146,0.3527919998305151,0.7629579995409586,,
pytorch,cpu,2,64,4417,64,3,mle_like,20,0.16021460014599143,0.14762500040887971,0.1595840003574267,0.14645800001744647,0.3492919995551347,,
pytorch,cpu,8,64,4801,64,3,exact_sm,20,3.4129833999941184,3.437709000081668,3.7151659998926334,2.9422500001601293,4.054791999806184,,
pytorch,cpu,8,64,4801,64,3,hutch_sm,20,0.7954791499287239,0.7539999996879487,0.887291999788431,0.7179589993029367,1.102083000660059,,
pytorch,cpu,8,64,4801,64,3,sliced_sm,20,0.8226854499298497,0.7565834998786158,1.105166999877838,0.7015830005911994,1.1598749997574487,,
pytorch,cpu,8,64,4801,64,3,dsm,20,0.3913520999958564,0.3657295001175953,0.39154199930635514,0.35858299997926224,0.7229590000861208,,
pytorch,cpu,8,64,4801,64,3,mle_like,20,0.15376870001091447,0.1499790000707435,0.15370900018751854,0.14629199995397357,0.2209169997513527,,
pytorch,cpu,64,64,8385,64,3,exact_sm,20,24.990985399972487,25.034708499788394,25.5726669993237,23.205249999591615,26.124041000002762,,
pytorch,cpu,64,64,8385,64,3,hutch_sm,20,0.7987334000972623,0.7610630000272067,0.9406669996678829,0.6988330005697208,1.0702079998736735,,
pytorch,cpu,64,64,8385,64,3,sliced_sm,20,0.8208730500882666,0.8002710001164814,0.9022920003189938,0.7269170000654412,1.149833999988914,,
pytorch,cpu,64,64,8385,64,3,dsm,20,0.4197271500743227,0.41472949988019536,0.4254159994161455,0.39695800023764605,0.5081669996798155,,
pytorch,cpu,64,64,8385,64,3,mle_like,20,0.17009995008265832,0.1544164997540065,0.185958000656683,0.1506670005255728,0.3015830006916076,,
pytorch,cpu,512,64,37057,64,3,exact_sm,20,312.2907811999994,309.1529580005954,351.43466599947715,285.5500410005334,360.3282920003039,,
pytorch,cpu,512,64,37057,64,3,hutch_sm,20,1.6639187499549735,1.56985400008125,2.0752079999510897,1.261667000107991,2.4695829997654073,,
pytorch,cpu,512,64,37057,64,3,sliced_sm,20,1.9599979000304302,1.9629164999059867,2.3418749997290433,1.5776249992995872,2.5784580002436996,,
pytorch,cpu,512,64,37057,64,3,dsm,20,1.3975458000459184,1.351437000266742,1.7213330002050498,0.9871659995042137,1.9340829994689557,,
pytorch,cpu,512,64,37057,64,3,mle_like,20,0.225227100054326,0.20379150009830482,0.287833999209397,0.16087499989225762,0.30612500086135697,,
pytorch,cpu,2048,64,135361,64,3,exact_sm,20,4287.238520900019,3354.0598540002975,6844.959582999763,3102.1071669993034,9986.30491699987,,
pytorch,cpu,2048,64,135361,64,3,hutch_sm,20,5.880483500141054,6.18147900013355,7.80541699987225,2.8899169992655516,9.199791999890294,,
pytorch,cpu,2048,64,135361,64,3,sliced_sm,20,7.218979149956795,7.134958499591448,8.689791000506375,5.117665999932797,10.145666999960667,,
pytorch,cpu,2048,64,135361,64,3,dsm,20,5.7702332499957265,5.544687499877909,7.071166000059748,3.1659999995099497,8.535790999303572,,
pytorch,cpu,2048,64,135361,64,3,mle_like,20,0.5250436501682998,0.40952100016511395,0.7903330006229226,0.31441600003745407,1.2491659999795957,,
