dataset,perturbation,n,recovered,published_style_rate,cont_channel_generous,corrected_rate_generous,cont_channel_strict,corrected_rate_strict,extraction_only,extraction_only_pct_of_recoveries
gsm8k,random,224,176,78.6,170,75.9,154,68.8,6,3.4
gsm8k,add1,229,181,79.0,180,78.6,163,71.2,1,0.6
gsm8k,add101,227,222,97.8,220,96.9,202,89.0,2,0.9
asdiv,random,229,171,74.7,147,64.2,138,60.3,24,14.0
asdiv,add1,229,173,75.5,138,60.3,131,57.2,35,20.2
asdiv,add101,229,223,97.4,215,93.9,201,87.8,8,3.6
awps,random,247,192,77.7,189,76.5,185,74.9,3,1.6
awps,add1,247,191,77.3,187,75.7,179,72.5,4,2.1
awps,add101,247,247,100.0,247,100.0,239,96.8,0,0.0
svamp,random,266,209,78.6,183,68.8,177,66.5,26,12.4
svamp,add1,280,210,75.0,177,63.2,167,59.6,33,15.7
svamp,add101,280,264,94.3,261,93.2,257,91.8,3,1.1
