dataset,position,perturbation,typo10,model,style,rows,uniq,annot,pipe_n,pipe_rate,pipe_unannot,strict_n,strict_rate,cc_n,cc_rate
asdiv,calc,add1,0,claude-3-opus-20240229,sbs,297,297,297,196,62.76,0,196,62.76,196,64.29
asdiv,calc,add1,0,gpt-4-0314,sbs,560,560,560,457,75.49,0,457,75.49,457,75.49
asdiv,calc,add1,0,meta-llama/Llama-3-70b-chat-hf,sbs,295,295,295,241,55.19,0,241,55.19,241,55.19
asdiv,calc,add101,0,claude-3-opus-20240229,sbs,297,297,297,196,86.22,0,196,86.22,196,86.22
asdiv,calc,add101,0,gpt-4-0314,sbs,339,339,339,277,97.47,0,277,97.47,277,97.47
asdiv,calc,add101,0,meta-llama/Llama-3-70b-chat-hf,sbs,295,295,295,241,91.29,0,241,91.29,241,91.29
asdiv,calc,random,0,claude-3-opus-20240229,sbs,297,297,297,204,70.1,0,204,70.1,204,70.1
asdiv,calc,random,0,claude-3-opus-20240229,sbs_recovery,297,297,297,204,73.53,0,204,73.53,204,73.53
asdiv,calc,random,0,gpt-3.5-turbo-0301,sbs,298,298,298,225,23.56,0,225,23.56,225,23.56
asdiv,calc,random,0,gpt-3.5-turbo-0301,sbs_recovery,298,298,0,225,27.11,225,225,27.11,0,
asdiv,calc,random,0,gpt-4-0314,sbs,283,283,283,229,74.67,0,229,74.67,229,74.67
asdiv,calc,random,0,gpt-4-0314,sbs_recovery,283,283,283,229,81.22,0,229,81.22,229,81.22
asdiv,calc,random,0,meta-llama/Llama-3-70b-chat-hf,sbs,295,295,295,240,70.42,0,240,70.42,240,70.42
asdiv,calc,random,0,meta-llama/Llama-3-70b-chat-hf,sbs_recovery,295,295,295,240,64.58,0,240,64.58,240,64.58
asdiv,calc,random,1,claude-3-opus-20240229,sbs,278,278,278,203,99.51,0,203,99.51,203,99.51
asdiv,calc,random,1,gpt-3.5-turbo-0301,sbs,319,319,0,319,27.9,319,0,,0,
asdiv,calc,random,1,gpt-4-0314,sbs,267,267,267,262,86.64,0,262,86.64,262,86.64
asdiv,calc,random,1,meta-llama/Llama-3-70b-chat-hf,sbs,283,283,283,240,77.92,0,240,77.92,240,77.92
asdiv,copy,add1,0,gpt-4-0314,sbs,278,278,278,274,97.81,0,274,97.81,274,97.81
asdiv,copy,add101,0,gpt-4-0314,sbs,278,278,278,274,98.91,0,274,98.91,274,98.91
asdiv,copy,random,0,gpt-3.5-turbo-0301,sbs,294,294,294,287,78.05,0,287,78.05,287,78.05
asdiv,copy,random,0,gpt-3.5-turbo-0301,sbs_recovery,294,294,0,287,77.7,287,287,77.7,0,
asdiv,copy,random,0,gpt-4-0314,sbs,278,278,278,274,97.45,0,274,97.45,274,97.45
asdiv,copy,random,0,gpt-4-0314,sbs_recovery,278,278,278,274,97.08,0,274,97.08,274,97.08
asdiv,copy,random,1,gpt-3.5-turbo-0301,sbs,279,279,6,279,80.65,273,6,50.0,6,50.0
asdiv,copy,random,1,gpt-4-0314,sbs,267,267,267,266,98.5,0,266,98.5,266,98.5
asdiv,propcalc,add1,0,gpt-4-0314,sbs,252,252,252,212,49.06,0,212,49.06,212,49.06
asdiv,propcalc,add101,0,gpt-4-0314,sbs,252,252,252,212,91.51,0,212,91.51,212,91.51
asdiv,propcalc,random,0,gpt-3.5-turbo-0301,sbs,287,287,287,226,13.27,0,226,13.27,226,12.39
asdiv,propcalc,random,0,gpt-3.5-turbo-0301,sbs_recovery,287,287,0,226,11.95,226,226,11.95,0,
asdiv,propcalc,random,0,gpt-4-0314,sbs,252,252,252,203,52.22,0,203,52.22,203,52.71
asdiv,propcalc,random,0,gpt-4-0314,sbs_recovery,252,252,252,203,64.53,0,203,64.53,203,64.53
asdiv,propcalc,random,1,gpt-3.5-turbo-0301,sbs,226,226,0,226,11.5,226,0,,0,
asdiv,propcalc,random,1,gpt-4-0314,sbs,207,207,207,203,71.43,0,203,71.43,203,71.43
awps,calc,add1,0,claude-3-opus-20240229,sbs,294,294,294,288,67.36,0,288,67.36,288,67.36
awps,calc,add1,0,gpt-4-0314,sbs,590,590,590,494,77.33,0,494,77.33,494,77.33
awps,calc,add1,0,meta-llama/Llama-3-70b-chat-hf,sbs,292,292,292,290,45.52,0,290,45.52,290,45.52
awps,calc,add101,0,claude-3-opus-20240229,sbs,294,294,294,288,96.18,0,288,96.18,288,96.53
awps,calc,add101,0,gpt-4-0314,sbs,590,590,590,494,100.0,0,494,100.0,494,100.0
awps,calc,add101,0,meta-llama/Llama-3-70b-chat-hf,sbs,292,292,292,290,91.72,0,290,91.72,290,91.72
awps,calc,random,0,claude-3-opus-20240229,sbs,294,294,294,282,69.5,0,282,69.5,282,69.15
awps,calc,random,0,claude-3-opus-20240229,sbs_recovery,294,294,294,282,75.53,0,282,75.53,282,75.53
awps,calc,random,0,gpt-3.5-turbo-0301,sbs,296,296,296,264,22.73,0,264,22.73,264,22.35
awps,calc,random,0,gpt-3.5-turbo-0301,sbs_recovery,296,296,0,264,24.24,264,264,24.24,0,
awps,calc,random,0,gpt-4-0314,sbs,295,295,295,247,77.73,0,247,77.73,247,77.73
awps,calc,random,0,gpt-4-0314,sbs_recovery,295,295,295,247,81.78,0,247,81.78,247,81.78
awps,calc,random,0,meta-llama/Llama-3-70b-chat-hf,sbs,292,292,292,289,55.36,0,289,55.36,289,55.36
awps,calc,random,0,meta-llama/Llama-3-70b-chat-hf,sbs_recovery,292,292,292,289,57.79,0,289,57.79,289,57.79
awps,calc,random,1,claude-3-opus-20240229,sbs,289,289,289,282,100.0,0,282,100.0,282,100.0
awps,calc,random,1,gpt-3.5-turbo-0301,sbs,320,320,1,320,24.06,319,1,0.0,1,0.0
awps,calc,random,1,gpt-4-0314,sbs,256,256,256,253,88.14,0,253,88.14,253,87.75
awps,calc,random,1,meta-llama/Llama-3-70b-chat-hf,sbs,291,291,291,289,60.55,0,289,60.55,289,60.55
awps,copy,add1,0,gpt-4-0314,sbs,295,295,295,288,97.57,0,288,97.57,288,97.57
awps,copy,add101,0,gpt-4-0314,sbs,295,295,295,288,99.65,0,288,99.65,288,99.65
awps,copy,random,0,gpt-3.5-turbo-0301,sbs,296,296,296,288,77.78,0,288,77.78,288,77.78
awps,copy,random,0,gpt-3.5-turbo-0301,sbs_recovery,296,296,0,288,71.18,288,288,71.18,0,
awps,copy,random,0,gpt-4-0314,sbs,295,295,295,295,99.32,0,295,99.32,295,99.32
awps,copy,random,0,gpt-4-0314,sbs_recovery,295,295,295,295,98.64,0,295,98.64,295,98.64
awps,copy,random,1,gpt-3.5-turbo-0301,sbs,281,281,2,281,79.0,279,2,100.0,2,100.0
awps,copy,random,1,gpt-4-0314,sbs,295,295,295,295,99.32,0,295,99.32,295,99.32
