file,dataset,position,perturbation,typo10,model,rows,unique,unique_annotated,pipe_n,pipe_rate,strict_n,strict_rate,blankok_n,blankok_rate,cc_n,cc_rate
ASDiv_adjusted_position-calc_perturbation-add101_annotated.csv,asdiv,calc,add101,0,gpt-4-0314,339,339,339,277,97.47,277,97.47,277,97.47,277,97.47
ASDiv_adjusted_position-calc_perturbation-add101_annotated.csv,asdiv,calc,add101,0,claude-3-opus-20240229,297,297,297,196,86.22,196,86.22,196,86.22,196,86.22
ASDiv_adjusted_position-calc_perturbation-add101_annotated.csv,asdiv,calc,add101,0,meta-llama/Llama-3-70b-chat-hf,295,295,295,241,91.29,241,91.29,241,91.29,241,91.29
ASDiv_adjusted_position-calc_perturbation-add1_annotated.csv,asdiv,calc,add1,0,gpt-4-0314,560,560,560,457,75.49,457,75.49,457,75.49,457,75.49
ASDiv_adjusted_position-calc_perturbation-add1_annotated.csv,asdiv,calc,add1,0,claude-3-opus-20240229,297,297,297,196,62.76,196,62.76,196,62.76,196,64.29
ASDiv_adjusted_position-calc_perturbation-add1_annotated.csv,asdiv,calc,add1,0,meta-llama/Llama-3-70b-chat-hf,295,295,295,241,55.19,241,55.19,241,55.19,241,55.19
ASDiv_adjusted_position-calc_perturbation-random_annotated.csv,asdiv,calc,random,0,gpt-3.5-turbo-0301,596,596,298,225,23.56,450,25.33,450,25.33,225,23.56
ASDiv_adjusted_position-calc_perturbation-random_annotated.csv,asdiv,calc,random,0,gpt-4-0314,566,566,566,229,74.67,458,77.95,458,77.95,458,77.95
ASDiv_adjusted_position-calc_perturbation-random_annotated.csv,asdiv,calc,random,0,claude-3-opus-20240229,594,594,594,204,70.1,408,71.81,408,71.81,408,71.81
ASDiv_adjusted_position-calc_perturbation-random_annotated.csv,asdiv,calc,random,0,meta-llama/Llama-3-70b-chat-hf,590,590,590,240,70.42,480,67.5,480,67.5,480,67.5
ASDiv_adjusted_position-calc_perturbation-random_letter_perturbation-typo10_annotated.csv,asdiv,calc,random,1,gpt-3.5-turbo-0301,319,319,0,319,27.9,0,,319,27.9,0,
ASDiv_adjusted_position-calc_perturbation-random_letter_perturbation-typo10_annotated.csv,asdiv,calc,random,1,gpt-4-0314,267,267,267,262,86.64,262,86.64,262,86.64,262,86.64
ASDiv_adjusted_position-calc_perturbation-random_letter_perturbation-typo10_annotated.csv,asdiv,calc,random,1,claude-3-opus-20240229,278,278,278,203,99.51,203,99.51,203,99.51,203,99.51
ASDiv_adjusted_position-calc_perturbation-random_letter_perturbation-typo10_annotated.csv,asdiv,calc,random,1,meta-llama/Llama-3-70b-chat-hf,283,283,283,240,77.92,240,77.92,240,77.92,240,77.92
ASDiv_adjusted_position-copy_perturbation-add101_annotated.csv,asdiv,copy,add101,0,gpt-4-0314,278,278,278,274,98.91,274,98.91,274,98.91,274,98.91
ASDiv_adjusted_position-copy_perturbation-add1_annotated.csv,asdiv,copy,add1,0,gpt-4-0314,278,278,278,274,97.81,274,97.81,274,97.81,274,97.81
ASDiv_adjusted_position-copy_perturbation-random_annotated.csv,asdiv,copy,random,0,gpt-3.5-turbo-0301,588,588,294,287,78.05,574,77.87,574,77.87,287,78.05
ASDiv_adjusted_position-copy_perturbation-random_annotated.csv,asdiv,copy,random,0,gpt-4-0314,556,556,556,274,97.45,548,97.26,548,97.26,548,97.26
ASDiv_adjusted_position-copy_perturbation-random_letter_perturbation-typo10_annotated.csv,asdiv,copy,random,1,gpt-3.5-turbo-0301,279,279,6,279,80.65,6,50.0,279,80.65,6,50.0
ASDiv_adjusted_position-copy_perturbation-random_letter_perturbation-typo10_annotated.csv,asdiv,copy,random,1,gpt-4-0314,267,267,267,266,98.5,266,98.5,266,98.5,266,98.5
ASDiv_adjusted_position-propcalc_perturbation-add101_annotated.csv,asdiv,propcalc,add101,0,gpt-4-0314,252,252,252,212,91.51,212,91.51,212,91.51,212,91.51
ASDiv_adjusted_position-propcalc_perturbation-add1_annotated.csv,asdiv,propcalc,add1,0,gpt-4-0314,252,252,252,212,49.06,212,49.06,212,49.06,212,49.06
ASDiv_adjusted_position-propcalc_perturbation-random_annotated.csv,asdiv,propcalc,random,0,gpt-3.5-turbo-0301,574,574,287,226,13.27,452,12.61,452,12.61,226,12.39
ASDiv_adjusted_position-propcalc_perturbation-random_annotated.csv,asdiv,propcalc,random,0,gpt-4-0314,504,504,504,203,52.22,406,58.37,406,58.37,406,58.62
ASDiv_adjusted_position-propcalc_perturbation-random_letter_perturbation-typo10_annotated.csv,asdiv,propcalc,random,1,gpt-3.5-turbo-0301,226,226,0,226,11.5,0,,226,11.5,0,
ASDiv_adjusted_position-propcalc_perturbation-random_letter_perturbation-typo10_annotated.csv,asdiv,propcalc,random,1,gpt-4-0314,207,207,207,203,71.43,203,71.43,203,71.43,203,71.43
MultiArith_adjusted_position-calc_perturbation-add101_annotated.csv,awps,calc,add101,0,gpt-4-0314,590,590,590,494,100.0,494,100.0,494,100.0,494,100.0
MultiArith_adjusted_position-calc_perturbation-add101_annotated.csv,awps,calc,add101,0,claude-3-opus-20240229,294,294,294,288,96.18,288,96.18,288,96.18,288,96.53
MultiArith_adjusted_position-calc_perturbation-add101_annotated.csv,awps,calc,add101,0,meta-llama/Llama-3-70b-chat-hf,292,292,292,290,91.72,290,91.72,290,91.72,290,91.72
MultiArith_adjusted_position-calc_perturbation-add1_annotated.csv,awps,calc,add1,0,gpt-4-0314,590,590,590,494,77.33,494,77.33,494,77.33,494,77.33
MultiArith_adjusted_position-calc_perturbation-add1_annotated.csv,awps,calc,add1,0,claude-3-opus-20240229,294,294,294,288,67.36,288,67.36,288,67.36,288,67.36
MultiArith_adjusted_position-calc_perturbation-add1_annotated.csv,awps,calc,add1,0,meta-llama/Llama-3-70b-chat-hf,292,292,292,290,45.52,290,45.52,290,45.52,290,45.52
MultiArith_adjusted_position-calc_perturbation-random_annotated.csv,awps,calc,random,0,gpt-3.5-turbo-0301,592,592,296,264,22.73,528,23.48,528,23.48,264,22.35
MultiArith_adjusted_position-calc_perturbation-random_annotated.csv,awps,calc,random,0,gpt-4-0314,590,590,590,247,77.73,494,79.76,494,79.76,494,79.76
MultiArith_adjusted_position-calc_perturbation-random_annotated.csv,awps,calc,random,0,claude-3-opus-20240229,588,588,588,282,69.5,564,72.52,564,72.52,564,72.34
MultiArith_adjusted_position-calc_perturbation-random_annotated.csv,awps,calc,random,0,meta-llama/Llama-3-70b-chat-hf,584,584,584,289,55.36,578,56.57,578,56.57,578,56.57
MultiArith_adjusted_position-calc_perturbation-random_letter_perturbation-typo10_annotated.csv,awps,calc,random,1,gpt-3.5-turbo-0301,320,320,1,320,24.06,1,0.0,320,24.06,1,0.0
MultiArith_adjusted_position-calc_perturbation-random_letter_perturbation-typo10_annotated.csv,awps,calc,random,1,gpt-4-0314,256,256,256,253,88.14,253,88.14,253,88.14,253,87.75
MultiArith_adjusted_position-calc_perturbation-random_letter_perturbation-typo10_annotated.csv,awps,calc,random,1,claude-3-opus-20240229,289,289,289,282,100.0,282,100.0,282,100.0,282,100.0
MultiArith_adjusted_position-calc_perturbation-random_letter_perturbation-typo10_annotated.csv,awps,calc,random,1,meta-llama/Llama-3-70b-chat-hf,291,291,291,289,60.55,289,60.55,289,60.55,289,60.55
MultiArith_adjusted_position-copy_perturbation-add101_annotated.csv,awps,copy,add101,0,gpt-4-0314,295,295,295,288,99.65,288,99.65,288,99.65,288,99.65
MultiArith_adjusted_position-copy_perturbation-add1_annotated.csv,awps,copy,add1,0,gpt-4-0314,295,295,295,288,97.57,288,97.57,288,97.57,288,97.57
MultiArith_adjusted_position-copy_perturbation-random_annotated.csv,awps,copy,random,0,gpt-3.5-turbo-0301,592,592,296,288,77.78,576,74.48,576,74.48,288,77.78
MultiArith_adjusted_position-copy_perturbation-random_annotated.csv,awps,copy,random,0,gpt-4-0314,590,590,590,295,99.32,590,98.98,590,98.98,590,98.98
MultiArith_adjusted_position-copy_perturbation-random_letter_perturbation-typo10_annotated.csv,awps,copy,random,1,gpt-3.5-turbo-0301,281,281,2,281,79.0,2,100.0,281,79.0,2,100.0
MultiArith_adjusted_position-copy_perturbation-random_letter_perturbation-typo10_annotated.csv,awps,copy,random,1,gpt-4-0314,295,295,295,295,99.32,295,99.32,295,99.32,295,99.32
