file,dataset,position,perturbation,typo10,rows,unique_mq,dup_questions,annotated_rows,unannotated_rows,kept_unlabeled,blank_model_rows
ASDiv_adjusted_position-calc_perturbation-add101_annotated.csv,asdiv,calc,add101,0,931,931,0,931,0,0,0
ASDiv_adjusted_position-calc_perturbation-add1_annotated.csv,asdiv,calc,add1,0,1152,1152,0,1152,0,0,0
ASDiv_adjusted_position-calc_perturbation-random_annotated.csv,asdiv,calc,random,0,2346,2346,0,2048,298,298,0
ASDiv_adjusted_position-calc_perturbation-random_letter_perturbation-typo10_annotated.csv,asdiv,calc,random,1,1147,1147,0,828,319,319,0
ASDiv_adjusted_position-copy_perturbation-add101_annotated.csv,asdiv,copy,add101,0,278,278,0,278,0,0,0
ASDiv_adjusted_position-copy_perturbation-add1_annotated.csv,asdiv,copy,add1,0,278,278,0,278,0,0,0
ASDiv_adjusted_position-copy_perturbation-random_annotated.csv,asdiv,copy,random,0,1144,1144,0,850,294,294,0
ASDiv_adjusted_position-copy_perturbation-random_letter_perturbation-typo10_annotated.csv,asdiv,copy,random,1,546,546,0,273,273,273,0
ASDiv_adjusted_position-propcalc_perturbation-add101_annotated.csv,asdiv,propcalc,add101,0,252,252,0,252,0,0,0
ASDiv_adjusted_position-propcalc_perturbation-add1_annotated.csv,asdiv,propcalc,add1,0,252,252,0,252,0,0,0
ASDiv_adjusted_position-propcalc_perturbation-random_annotated.csv,asdiv,propcalc,random,0,1078,1078,0,791,287,287,0
ASDiv_adjusted_position-propcalc_perturbation-random_letter_perturbation-typo10_annotated.csv,asdiv,propcalc,random,1,433,433,0,207,226,226,0
MultiArith_adjusted_position-calc_perturbation-add101_annotated.csv,awps,calc,add101,0,1176,1176,0,1176,0,0,0
MultiArith_adjusted_position-calc_perturbation-add1_annotated.csv,awps,calc,add1,0,1176,1176,0,1176,0,0,0
MultiArith_adjusted_position-calc_perturbation-random_annotated.csv,awps,calc,random,0,2354,2354,0,2058,296,296,0
MultiArith_adjusted_position-calc_perturbation-random_letter_perturbation-typo10_annotated.csv,awps,calc,random,1,1156,1156,0,837,319,319,0
MultiArith_adjusted_position-copy_perturbation-add101_annotated.csv,awps,copy,add101,0,295,295,0,295,0,0,0
MultiArith_adjusted_position-copy_perturbation-add1_annotated.csv,awps,copy,add1,0,295,295,0,295,0,0,0
MultiArith_adjusted_position-copy_perturbation-random_annotated.csv,awps,copy,random,0,1182,1182,0,886,296,296,0
MultiArith_adjusted_position-copy_perturbation-random_letter_perturbation-typo10_annotated.csv,awps,copy,random,1,576,576,0,297,279,279,0
MultiArith_adjusted_position-propcalc_perturbation-add101_annotated.csv,awps,propcalc,add101,0,295,295,0,295,0,0,0
MultiArith_adjusted_position-propcalc_perturbation-add1_annotated.csv,awps,propcalc,add1,0,295,295,0,295,0,0,0
MultiArith_adjusted_position-propcalc_perturbation-random_annotated.csv,awps,propcalc,random,0,1166,1166,0,878,288,288,0
MultiArith_adjusted_position-propcalc_perturbation-random_letter_perturbation-typo10_annotated.csv,awps,propcalc,random,1,575,575,0,310,265,265,0
test_adjusted_position-calc_perturbation-add101_annotated.csv,gsm8k,calc,add101,0,925,925,0,892,33,33,0
test_adjusted_position-calc_perturbation-add1_annotated.csv,gsm8k,calc,add1,0,1192,1192,0,893,299,299,0
test_adjusted_position-calc_perturbation-random_annotated.csv,gsm8k,calc,random,0,2262,2262,0,2155,107,107,0
test_adjusted_position-calc_perturbation-random_letter_perturbation-typo10_annotated.csv,gsm8k,calc,random,1,1923,1647,276,1098,825,550,0
test_adjusted_position-copy_perturbation-add101_annotated.csv,gsm8k,copy,add101,0,295,295,0,295,0,0,0
test_adjusted_position-copy_perturbation-add1_annotated.csv,gsm8k,copy,add1,0,295,295,0,295,0,0,0
test_adjusted_position-copy_perturbation-random_annotated.csv,gsm8k,copy,random,0,1190,1190,0,890,300,300,0
test_adjusted_position-copy_perturbation-random_letter_perturbation-typo10_annotated.csv,gsm8k,copy,random,1,860,593,267,295,565,298,0
test_adjusted_position-propcalc_perturbation-add101_annotated.csv,gsm8k,propcalc,add101,0,294,294,0,294,0,0,0
test_adjusted_position-propcalc_perturbation-add1_annotated.csv,gsm8k,propcalc,add1,0,294,294,0,294,0,0,0
test_adjusted_position-propcalc_perturbation-random_annotated.csv,gsm8k,propcalc,random,0,1120,1120,0,1008,112,112,0
