file,row_idx,model,style,qhash,dataset,position,perturbation,typo10,target,answer,correct_col,regrade_scorer,error_type,recovery_behavior,is_kept_after_dedupe,cont_ok,ack_t1e,ack_t2
ASDiv_adjusted_position-calc_perturbation-add101_annotated.csv,0,gpt-4-0314,sbs,b348ce46d121,asdiv,calc,add101,0,15.0,15.,True,True,other,states correct value,1,1,0,0
ASDiv_adjusted_position-calc_perturbation-add101_annotated.csv,1,gpt-4-0314,sbs,94fdbb777162,asdiv,calc,add101,0,6.0,6.,True,True,other,directly redoes calculation,1,1,0,0
ASDiv_adjusted_position-calc_perturbation-add101_annotated.csv,2,gpt-4-0314,sbs,cbbf4497c9ec,asdiv,calc,add101,0,11.0,11.,True,True,calculation,directly redoes calculation,1,1,0,0
ASDiv_adjusted_position-calc_perturbation-add101_annotated.csv,3,gpt-4-0314,sbs,798256e5e23a,asdiv,calc,add101,0,2.0,2.,True,True,calculation,directly redoes calculation,1,1,0,0
ASDiv_adjusted_position-calc_perturbation-add101_annotated.csv,4,gpt-4-0314,sbs,532e3478516a,asdiv,calc,add101,0,3.0,3.,True,True,calculation,directly redoes calculation,1,1,0,0
ASDiv_adjusted_position-calc_perturbation-add101_annotated.csv,5,gpt-4-0314,sbs,9cc8c9bce142,asdiv,calc,add101,0,55.0,55 muffins.,True,True,calculation,directly redoes calculation,1,1,0,0
ASDiv_adjusted_position-calc_perturbation-add101_annotated.csv,6,gpt-4-0314,sbs,c393fb24c63e,asdiv,calc,add101,0,38.0,38.,True,True,calculation,explicitly identifies error,1,1,1,0
ASDiv_adjusted_position-calc_perturbation-add101_annotated.csv,7,gpt-4-0314,sbs,da39efef2d38,asdiv,calc,add101,0,12.0,12.,True,True,calculation,directly redoes calculation,1,1,0,0
ASDiv_adjusted_position-calc_perturbation-add101_annotated.csv,8,gpt-4-0314,sbs,44a1d9c14b3b,asdiv,calc,add101,0,7.0,7.,True,True,calculation,directly redoes calculation,1,1,0,0
ASDiv_adjusted_position-calc_perturbation-add101_annotated.csv,9,gpt-4-0314,sbs,138db3e5100f,asdiv,calc,add101,0,28.0,28.,True,True,calculation,directly redoes calculation,1,1,0,0
ASDiv_adjusted_position-calc_perturbation-add101_annotated.csv,10,gpt-4-0314,sbs,173491d7e4d4,asdiv,calc,add101,0,700.0,700,True,True,calculation,complete hallucination,1,1,0,0
ASDiv_adjusted_position-calc_perturbation-add101_annotated.csv,11,gpt-4-0314,sbs,e3c4737b8342,asdiv,calc,add101,0,35.0,35 boys went down the slide.,True,True,calculation,directly redoes calculation,1,1,0,0
ASDiv_adjusted_position-calc_perturbation-add101_annotated.csv,12,gpt-4-0314,sbs,06013370eaf7,asdiv,calc,add101,0,69.0,69.,True,True,calculation,directly redoes calculation,1,1,0,0
ASDiv_adjusted_position-calc_perturbation-add101_annotated.csv,13,gpt-4-0314,sbs,e9aa21264d66,asdiv,calc,add101,0,12.0,12.,True,True,other,complete hallucination,1,1,0,0
ASDiv_adjusted_position-calc_perturbation-add101_annotated.csv,14,gpt-4-0314,sbs,5711ba04ea09,asdiv,calc,add101,0,79.0,79.,True,True,calculation,directly redoes calculation,1,1,0,0
ASDiv_adjusted_position-calc_perturbation-add101_annotated.csv,15,gpt-4-0314,sbs,3f7315c5c349,asdiv,calc,add101,0,6.0,6 inches.,True,True,calculation,states correct value,1,1,0,0
ASDiv_adjusted_position-calc_perturbation-add101_annotated.csv,16,gpt-4-0314,sbs,3ab5a9f766f2,asdiv,calc,add101,0,50.0,50.,True,True,calculation,explicitly identifies error,1,1,1,0
ASDiv_adjusted_position-calc_perturbation-add101_annotated.csv,17,gpt-4-0314,sbs,a083589dfffb,asdiv,calc,add101,0,44.0,44.,True,True,calculation,directly redoes calculation,1,1,0,0
ASDiv_adjusted_position-calc_perturbation-add101_annotated.csv,18,gpt-4-0314,sbs,84defcf8ddb2,asdiv,calc,add101,0,51.0,51.,True,True,calculation,directly redoes calculation,1,1,0,0
ASDiv_adjusted_position-calc_perturbation-add101_annotated.csv,19,gpt-4-0314,sbs,3ed70076eb73,asdiv,calc,add101,0,9.0,9.,True,True,calculation,directly redoes calculation,1,1,0,0
ASDiv_adjusted_position-calc_perturbation-add101_annotated.csv,20,gpt-4-0314,sbs,76d528c661e4,asdiv,calc,add101,0,23.0,23 marbles.,True,True,calculation,directly redoes calculation,1,1,0,0
ASDiv_adjusted_position-calc_perturbation-add101_annotated.csv,21,gpt-4-0314,sbs,529cf3c27e7c,asdiv,calc,add101,0,4.0,4 coins.,True,True,calculation,states correct value,1,1,0,0
ASDiv_adjusted_position-calc_perturbation-add101_annotated.csv,22,gpt-4-0314,sbs,1b97cff038a2,asdiv,calc,add101,0,24.0,24.,True,True,calculation,directly redoes calculation,1,1,0,0
ASDiv_adjusted_position-calc_perturbation-add101_annotated.csv,23,gpt-4-0314,sbs,592b4dea35cc,asdiv,calc,add101,0,2.0,2.,True,True,calculation,complete hallucination,1,1,0,0
ASDiv_adjusted_position-calc_perturbation-add101_annotated.csv,24,gpt-4-0314,sbs,7a7aa92d6d55,asdiv,calc,add101,0,15.0,15 people.,True,True,calculation,directly redoes calculation,1,1,0,0
ASDiv_adjusted_position-calc_perturbation-add101_annotated.csv,25,gpt-4-0314,sbs,cfae673626af,asdiv,calc,add101,0,50.0,50.,True,True,calculation,directly redoes calculation,1,1,0,0
ASDiv_adjusted_position-calc_perturbation-add101_annotated.csv,26,gpt-4-0314,sbs,2978ec51df11,asdiv,calc,add101,0,30.0,30 cookies.,True,True,calculation,directly redoes calculation,1,1,0,0
ASDiv_adjusted_position-calc_perturbation-add101_annotated.csv,27,gpt-4-0314,sbs,2f330754ff0f,asdiv,calc,add101,0,55.0,55 pieces of meat.,True,True,calculation,explicitly identifies error,1,1,1,0
ASDiv_adjusted_position-calc_perturbation-add101_annotated.csv,28,gpt-4-0314,sbs,b86a6a7fea1a,asdiv,calc,add101,0,50.0,50.,True,True,calculation,explicitly identifies error,1,1,1,0
ASDiv_adjusted_position-calc_perturbation-add101_annotated.csv,29,gpt-4-0314,sbs,50c5048786f4,asdiv,calc,add101,0,50.0,50 candies.,True,True,calculation,directly redoes calculation,1,1,0,0
ASDiv_adjusted_position-calc_perturbation-add101_annotated.csv,30,gpt-4-0314,sbs,c61fea6405e6,asdiv,calc,add101,0,78.0,78 frogs.,True,True,calculation,directly redoes calculation,1,1,0,0
ASDiv_adjusted_position-calc_perturbation-add101_annotated.csv,31,gpt-4-0314,sbs,e53942cf3b2e,asdiv,calc,add101,0,76.0,76 packs of cookies.,True,True,calculation,explicitly identifies error,1,1,1,0
ASDiv_adjusted_position-calc_perturbation-add101_annotated.csv,32,gpt-4-0314,sbs,f8ce4ca2775d,asdiv,calc,add101,0,51.0,51.,True,True,calculation,explicitly identifies error,1,1,1,0
ASDiv_adjusted_position-calc_perturbation-add101_annotated.csv,33,gpt-4-0314,sbs,d8c256555b96,asdiv,calc,add101,0,892.0,unknown.,False,False,calculation,,1,1,0,0
ASDiv_adjusted_position-calc_perturbation-add101_annotated.csv,34,gpt-4-0314,sbs,d64ed07ea74a,asdiv,calc,add101,0,760.0,760.,True,True,calculation,states correct value,1,1,0,0
ASDiv_adjusted_position-calc_perturbation-add101_annotated.csv,35,gpt-4-0314,sbs,b09be4308464,asdiv,calc,add101,0,547.0,547,True,True,calculation,complete hallucination,1,1,0,0
ASDiv_adjusted_position-calc_perturbation-add101_annotated.csv,36,gpt-4-0314,sbs,d9e081d42cb9,asdiv,calc,add101,0,729.0,729.,True,True,calculation,complete hallucination,1,1,0,0
ASDiv_adjusted_position-calc_perturbation-add101_annotated.csv,37,gpt-4-0314,sbs,ec88aa209393,asdiv,calc,add101,0,400.0,400 stories (total),True,True,calculation,states correct value,1,1,0,0
ASDiv_adjusted_position-calc_perturbation-add101_annotated.csv,38,gpt-4-0314,sbs,04e914f22b38,asdiv,calc,add101,0,18.0,18.,True,True,calculation,directly redoes calculation,1,1,0,1
ASDiv_adjusted_position-calc_perturbation-add101_annotated.csv,39,gpt-4-0314,sbs,4d0fd5b0ba9e,asdiv,calc,add101,0,19.0,19.,True,True,calculation,explicitly identifies error,1,1,1,0
ASDiv_adjusted_position-calc_perturbation-add101_annotated.csv,40,gpt-4-0314,sbs,bc07b879673e,asdiv,calc,add101,0,38.0,38.,True,True,calculation,directly redoes calculation,1,1,0,0
ASDiv_adjusted_position-calc_perturbation-add101_annotated.csv,41,gpt-4-0314,sbs,31ba1c9bd834,asdiv,calc,add101,0,184.0,184 m.,True,True,calculation,complete hallucination,1,1,0,0
ASDiv_adjusted_position-calc_perturbation-add101_annotated.csv,42,gpt-4-0314,sbs,b14e4f85db70,asdiv,calc,add101,0,513.0,513.,True,True,calculation,complete hallucination,1,1,0,0
ASDiv_adjusted_position-calc_perturbation-add101_annotated.csv,43,gpt-4-0314,sbs,a2b084119a17,asdiv,calc,add101,0,359.0,359 lbs.,True,True,calculation,states correct value,1,1,0,0
ASDiv_adjusted_position-calc_perturbation-add101_annotated.csv,44,gpt-4-0314,sbs,fa0e4bfffa99,asdiv,calc,add101,0,164.0,164.,True,True,calculation,explicitly identifies error,1,1,1,0
ASDiv_adjusted_position-calc_perturbation-add101_annotated.csv,45,gpt-4-0314,sbs,539e4b3d6bac,asdiv,calc,add101,0,40.0,40 cookies.,True,True,calculation,directly redoes calculation,1,1,0,0
ASDiv_adjusted_position-calc_perturbation-add101_annotated.csv,46,gpt-4-0314,sbs,76849ccd60ce,asdiv,calc,add101,0,35.0,35.,True,True,calculation,states correct value,1,1,0,0
ASDiv_adjusted_position-calc_perturbation-add101_annotated.csv,47,gpt-4-0314,sbs,ba81ad7ba747,asdiv,calc,add101,0,140.0,140 teachers.,True,True,calculation,directly redoes calculation,1,1,0,0
ASDiv_adjusted_position-calc_perturbation-add101_annotated.csv,48,gpt-4-0314,sbs,5e367c74c2cd,asdiv,calc,add101,0,250.0,250 employees.,True,True,calculation,directly redoes calculation,1,1,0,0
ASDiv_adjusted_position-calc_perturbation-add101_annotated.csv,49,gpt-4-0314,sbs,ca56eeb5ad8c,asdiv,calc,add101,0,320.0,320.,True,True,calculation,directly redoes calculation,1,1,0,0
ASDiv_adjusted_position-calc_perturbation-add101_annotated.csv,50,gpt-4-0314,sbs,61722d18edbe,asdiv,calc,add101,0,738.0,738 rocks in total.,True,True,calculation,explicitly identifies error,1,1,1,0
ASDiv_adjusted_position-calc_perturbation-add101_annotated.csv,51,gpt-4-0314,sbs,decb7c7919bf,asdiv,calc,add101,0,360.0,360 sacks of apples daily.,True,True,calculation,directly redoes calculation,1,1,0,0
ASDiv_adjusted_position-calc_perturbation-add101_annotated.csv,52,gpt-4-0314,sbs,eca50ef713fa,asdiv,calc,add101,0,6835.0,6835.,True,True,calculation,complete hallucination,1,1,0,0
ASDiv_adjusted_position-calc_perturbation-add101_annotated.csv,53,gpt-4-0314,sbs,b0e6d322b0a4,asdiv,calc,add101,0,1050.0,1050.,True,True,calculation,directly redoes calculation,1,1,0,0
ASDiv_adjusted_position-calc_perturbation-add101_annotated.csv,54,gpt-4-0314,sbs,c1a01e3ad380,asdiv,calc,add101,0,984.0,984.,True,True,calculation,states correct value,1,1,0,0
ASDiv_adjusted_position-calc_perturbation-add101_annotated.csv,55,gpt-4-0314,sbs,8bf6fdb0854d,asdiv,calc,add101,0,6538.0,6538.,True,True,calculation,directly redoes calculation,1,1,0,0
ASDiv_adjusted_position-calc_perturbation-add101_annotated.csv,56,gpt-4-0314,sbs,7b78a2b186ae,asdiv,calc,add101,0,81.0,81,True,True,calculation,partial hallucination,1,1,0,0
ASDiv_adjusted_position-calc_perturbation-add101_annotated.csv,57,gpt-4-0314,sbs,6da5d5965ffd,asdiv,calc,add101,0,1415.0,1415.,True,True,calculation,complete hallucination,1,1,0,0
ASDiv_adjusted_position-calc_perturbation-add101_annotated.csv,58,gpt-4-0314,sbs,96f2eb5dfd38,asdiv,calc,add101,0,3285.0,3285 books in a year.,True,True,calculation,complete hallucination,1,1,0,0
ASDiv_adjusted_position-calc_perturbation-add101_annotated.csv,59,gpt-4-0314,sbs,046a1cb880a1,asdiv,calc,add101,0,7.0,7.,True,True,calculation,complete hallucination,1,1,0,0
ASDiv_adjusted_position-calc_perturbation-add101_annotated.csv,60,gpt-4-0314,sbs,5bcf921ef34a,asdiv,calc,add101,0,4.0,4 sacks.,True,True,calculation,directly redoes calculation,1,1,0,0
ASDiv_adjusted_position-calc_perturbation-add101_annotated.csv,61,gpt-4-0314,sbs,5182e0587afb,asdiv,calc,add101,0,11.0,11 stones per bracelet.,True,True,calculation,directly redoes calculation,1,1,0,0
ASDiv_adjusted_position-calc_perturbation-add101_annotated.csv,62,gpt-4-0314,sbs,cafcc9f28589,asdiv,calc,add101,0,12.0,12 stones per bracelet.,True,True,calculation,directly redoes calculation,1,1,0,0
ASDiv_adjusted_position-calc_perturbation-add101_annotated.csv,63,gpt-4-0314,sbs,3cee19bf6de3,asdiv,calc,add101,0,6.0,6.,True,True,calculation,states correct value,1,1,0,0
ASDiv_adjusted_position-calc_perturbation-add101_annotated.csv,64,gpt-4-0314,sbs,9decd9353f2b,asdiv,calc,add101,0,8.0,8 potatoes per person.,True,True,calculation,directly redoes calculation,1,1,0,0
ASDiv_adjusted_position-calc_perturbation-add101_annotated.csv,65,gpt-4-0314,sbs,e229e156845c,asdiv,calc,add101,0,17.0,17.,True,True,calculation,states correct value,1,1,0,0
ASDiv_adjusted_position-calc_perturbation-add101_annotated.csv,66,gpt-4-0314,sbs,5bd24f705e02,asdiv,calc,add101,0,14.0,14.,True,True,calculation,states correct value,1,1,0,0
ASDiv_adjusted_position-calc_perturbation-add101_annotated.csv,67,gpt-4-0314,sbs,4ac4b4613477,asdiv,calc,add101,0,12.0,12 days.,True,True,calculation,directly redoes calculation,1,1,0,0
ASDiv_adjusted_position-calc_perturbation-add101_annotated.csv,68,gpt-4-0314,sbs,2b219fd7a151,asdiv,calc,add101,0,6.0,6.,True,True,calculation,explicitly identifies error,1,1,1,0
ASDiv_adjusted_position-calc_perturbation-add101_annotated.csv,69,gpt-4-0314,sbs,17cf1745d48a,asdiv,calc,add101,0,92.0,92 feet.,True,True,calculation,directly redoes calculation,1,1,0,0
ASDiv_adjusted_position-calc_perturbation-add101_annotated.csv,70,gpt-4-0314,sbs,f2d69954171c,asdiv,calc,add101,0,460.0,460 legs.,True,True,calculation,directly redoes calculation,1,1,0,0
ASDiv_adjusted_position-calc_perturbation-add101_annotated.csv,71,gpt-4-0314,sbs,49032f84d207,asdiv,calc,add101,0,4764.0,4764.,True,True,calculation,complete hallucination,1,1,0,0
ASDiv_adjusted_position-calc_perturbation-add101_annotated.csv,72,gpt-4-0314,sbs,02012c0fc7af,asdiv,calc,add101,0,332.0,332 legs.,True,True,calculation,directly redoes calculation,1,1,0,0
ASDiv_adjusted_position-calc_perturbation-add101_annotated.csv,73,gpt-4-0314,sbs,85c848425450,asdiv,calc,add101,0,84.0,84 people.,True,True,calculation,directly redoes calculation,1,1,0,0
ASDiv_adjusted_position-calc_perturbation-add101_annotated.csv,74,gpt-4-0314,sbs,3e784337ce65,asdiv,calc,add101,0,8.0,8 different ways to order ice cream.,True,True,calculation,directly redoes calculation,1,1,0,0
ASDiv_adjusted_position-calc_perturbation-add101_annotated.csv,75,gpt-4-0314,sbs,acf3bf066e72,asdiv,calc,add101,0,420.0,420.,True,True,calculation,directly redoes calculation,1,1,0,0
ASDiv_adjusted_position-calc_perturbation-add101_annotated.csv,76,gpt-4-0314,sbs,8d668a0c8987,asdiv,calc,add101,0,210.0,210 ears.,True,True,calculation,states correct value,1,1,0,0
ASDiv_adjusted_position-calc_perturbation-add101_annotated.csv,77,gpt-4-0314,sbs,83373ae74941,asdiv,calc,add101,0,1396.0,1396 legs.,True,True,calculation,states correct value,1,1,0,0
ASDiv_adjusted_position-calc_perturbation-add101_annotated.csv,78,gpt-4-0314,sbs,71eafe0136e5,asdiv,calc,add101,0,629.0,629.,True,True,calculation,complete hallucination,1,1,0,0
ASDiv_adjusted_position-calc_perturbation-add101_annotated.csv,79,gpt-4-0314,sbs,c7b93b5acd9e,asdiv,calc,add101,0,30.0,30 meters.,True,True,calculation,directly redoes calculation,1,1,0,0
ASDiv_adjusted_position-calc_perturbation-add101_annotated.csv,80,gpt-4-0314,sbs,06d6812ba39e,asdiv,calc,add101,0,21.0,21 people per car.,True,True,calculation,explicitly identifies error,1,1,1,0
ASDiv_adjusted_position-calc_perturbation-add101_annotated.csv,81,gpt-4-0314,sbs,cf63f3ad3f82,asdiv,calc,add101,0,220.0,220 stickers.,True,True,calculation,explicitly identifies error,1,1,1,0
ASDiv_adjusted_position-calc_perturbation-add101_annotated.csv,82,gpt-4-0314,sbs,2b8d9c1c3aaa,asdiv,calc,add101,0,426.0,427.,False,False,calculation,,1,1,0,0
ASDiv_adjusted_position-calc_perturbation-add101_annotated.csv,83,gpt-4-0314,sbs,f56f5c12533c,asdiv,calc,add101,0,208.0,208.,True,True,calculation,explicitly identifies error,1,1,1,0
ASDiv_adjusted_position-calc_perturbation-add101_annotated.csv,84,gpt-4-0314,sbs,e6553afb76c4,asdiv,calc,add101,0,8243.0,8344,False,False,calculation,,1,1,0,0
ASDiv_adjusted_position-calc_perturbation-add101_annotated.csv,85,gpt-4-0314,sbs,a403d16b3414,asdiv,calc,add101,0,360.0,360.,True,True,calculation,directly redoes calculation,1,1,0,0
ASDiv_adjusted_position-calc_perturbation-add101_annotated.csv,86,gpt-4-0314,sbs,88896a707e0f,asdiv,calc,add101,0,372.0,372 stars.,True,True,calculation,directly redoes calculation,1,1,0,0
ASDiv_adjusted_position-calc_perturbation-add101_annotated.csv,87,gpt-4-0314,sbs,06e6a14a490c,asdiv,calc,add101,0,39.0,39.,True,True,calculation,explicitly identifies error,1,1,1,0
ASDiv_adjusted_position-calc_perturbation-add101_annotated.csv,88,gpt-4-0314,sbs,90c26ca5726e,asdiv,calc,add101,0,48.0,48.,True,True,calculation,directly redoes calculation,1,1,0,0
ASDiv_adjusted_position-calc_perturbation-add101_annotated.csv,89,gpt-4-0314,sbs,58ec53ad4945,asdiv,calc,add101,0,296.0,296 pieces of pizza.,True,True,calculation,directly redoes calculation,1,1,0,0
ASDiv_adjusted_position-calc_perturbation-add101_annotated.csv,90,gpt-4-0314,sbs,63ad28ca5a86,asdiv,calc,add101,0,6.0,6.,True,True,calculation,directly redoes calculation,1,1,0,0
