Per (dataset, perturbation-file, model): N_CH_correct  / absent
asdiv  perturbation-add101                 gpt-4-0314                       N=  29 absent=   7 (24%)
asdiv  perturbation-add1                   claude-3-opus-20240229           N=   1 absent=   0 (0%)
asdiv  perturbation-add1                   gpt-4-0314                       N= 141 absent=  58 (41%)
asdiv  perturbation-random                 gpt-3.5-turbo-0301               N=  87 absent=   2 (2%)
asdiv  perturbation-random                 gpt-4-0314                       N= 129 absent=  41 (32%)
asdiv  perturbation-random_letter_perturbation-typo10 gpt-4-0314                       N=  64 absent=  20 (31%)
awps   perturbation-add101                 claude-3-opus-20240229           N=  60 absent=   0 (0%)
awps   perturbation-add101                 gpt-4-0314                       N=  50 absent=   0 (0%)
awps   perturbation-add1                   claude-3-opus-20240229           N=  44 absent=   0 (0%)
awps   perturbation-add1                   gpt-4-0314                       N=  36 absent=   8 (22%)
awps   perturbation-add1                   meta-llama/Llama-3-70b-chat-hf   N=   7 absent=   4 (57%)
awps   perturbation-random                 gpt-3.5-turbo-0301               N=  32 absent=   2 (6%)
awps   perturbation-random                 gpt-4-0314                       N=  31 absent=   4 (13%)
awps   perturbation-random_letter_perturbation-typo10 gpt-4-0314                       N=   9 absent=   0 (0%)
gsm8k  perturbation-add101                 gpt-4-0314                       N=  29 absent=   0 (0%)
gsm8k  perturbation-add101                 meta-llama/Llama-3-70b-chat-hf   N=   7 absent=   1 (14%)
gsm8k  perturbation-add1                   gpt-4-0314                       N=  31 absent=   2 (6%)
gsm8k  perturbation-add1                   meta-llama/Llama-3-70b-chat-hf   N=  15 absent=   0 (0%)
gsm8k  perturbation-random                 gpt-3.5-turbo-0301               N=  18 absent=   1 (6%)
gsm8k  perturbation-random                 gpt-4-0314                       N=  34 absent=   4 (12%)
gsm8k  perturbation-random_letter_perturbation-typo10 gpt-4-0314                       N=  57 absent=   2 (4%)
svamp  perturbation-add101                 gpt-4-0314                       N=  34 absent=   4 (12%)
svamp  perturbation-add1                   gpt-4-0314                       N= 104 absent=  51 (49%)
svamp  perturbation-random                 gpt-3.5-turbo-0301               N=  45 absent=   1 (2%)
svamp  perturbation-random                 gpt-4-0314                       N= 130 absent=  45 (35%)
svamp  perturbation-random_letter_perturbation-typo10 gpt-3.5-turbo-0301               N=   2 absent=   0 (0%)
svamp  perturbation-random_letter_perturbation-typo10 gpt-4-0314                       N=  84 absent=  29 (35%)
