batch,candidates,method,reps,latency_ms,scores_per_second,ideal_energy_bytes,checksum
1,128,raw_argmin,30,0.0071985957523187,17781245.732373655,1024,1620.0
1,128,rank_margin,30,0.006059727941950162,21123060.511328273,1024,16.630107
1,128,exp_sum,30,0.023615267127752304,5420222.405596943,1024,22444.602883
1,128,logsumexp,30,0.027176404061416783,4709968.239754196,1024,198.528242
1,128,softmax,30,0.0371388935794433,3446521.6290355274,1024,4.161557
1,128,temp_softmax_t2,30,0.03682360208282868,3476031.478726196,1024,1.403014
8,128,raw_argmin,30,0.05540693333993356,18481441.550239533,8192,14550.0
8,128,rank_margin,30,0.04434583242982626,23091234.14517922,8192,187.065188
8,128,exp_sum,30,0.18136946794887385,5645933.748279258,8192,165090.13098
8,128,logsumexp,30,0.20942083404709894,4889675.875179169,8192,1558.365176
8,128,softmax,30,0.3126055623094241,3275693.472742566,8192,49.359726
8,128,temp_softmax_t2,30,0.31123332834492123,3290136.0707268543,8192,14.183889
16,128,raw_argmin,30,0.10223193094134331,20032879.953867473,16384,29730.0
16,128,rank_margin,30,0.08754166774451733,23394573.724331006,16384,255.620105
16,128,exp_sum,30,0.3661305643618107,5593632.980545606,16384,432771.058746
16,128,logsumexp,30,0.468576365771393,4370685.654681887,16384,3239.493015
16,128,softmax,30,0.7358777957657974,2783070.7921669683,16384,97.658141
16,128,temp_softmax_t2,30,0.6779124960303307,3021038.8685745215,16384,29.670673
1,1024,raw_argmin,30,0.06703473627567291,15275662.393731417,8192,17310.0
1,1024,rank_margin,30,0.055034730272988476,18606432.60938426,8192,4.528622
1,1024,exp_sum,30,0.2155999963482221,4749536.258554042,8192,182492.450315
1,1024,logsumexp,30,0.2215333360557755,4622329.16377961,8192,261.398001
1,1024,softmax,30,0.2979638675848643,3436658.3045789953,8192,1.295287
1,1024,temp_softmax_t2,30,0.3046333324164152,3361418.1083777607,8192,0.300149
8,1024,raw_argmin,30,0.600038895693918,13652448.297582977,65536,135150.0
8,1024,rank_margin,30,0.36857223603874445,22226307.895689826,65536,168.641601
8,1024,exp_sum,30,2.4046472351377206,3406736.7056152923,65536,1602049.60413
8,1024,logsumexp,30,2.0685444275538125,3960272.687827918,65536,2112.51922
8,1024,softmax,30,3.0273805372416973,2705969.69863058,65536,23.048765
8,1024,temp_softmax_t2,30,3.23745000641793,2530386.5646605063,65536,3.549571
16,1024,raw_argmin,30,1.3951027998700738,11743937.437102014,131072,262860.0
16,1024,rank_margin,30,0.7767763687297702,21092299.73974629,131072,262.889635
